Publication Number,Level 1,Level 2,level 3,Level 4,Level 5
DE102015224723B4,RECOVERY RESOURCES,HEAT/ ENERGY,,,
DE102015224723B4,RECOVERY TECHNOLOGY,HEAT RECOVERY DEVICE,,,
DE102015224723B4,RECOVERY SOURCES,GENERAL WASTEWATER,,,
DE102015224723B4,RECOVERED RESOURCE APPLICATIONS,DOMESTIC INDUSTRY,,,
FR3092575B1,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
FR3092575B1,RECOVERY SOURCES,GENERAL WASTEWATER,,,
FR3092575B1,RECOVERED RESOURCE APPLICATIONS,GENERAL INDUSTRY,,,
FR3092575B1,RECOVERED RESOURCE APPLICATIONS,DOMESTIC INDUSTRY,,,
FR3092575B1,RECOVERED RESOURCE APPLICATIONS,AGRICULTURAL PURPOSES,,,
EP3611135B1,RECOVERY RESOURCES,GENERAL RESOURCES,,,
EP3611135B1,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
EP3611135B1,RECOVERY TECHNOLOGY,ANAEROBIC TREATMENT,,,
EP3611135B1,RECOVERY TECHNOLOGY,AEROBIC TREATMENT,,,
EP3611135B1,RECOVERY SOURCES,OTHER WASTEWATER,,,
EP3611135B1,RECOVERED RESOURCE APPLICATIONS,MEDICAL/ PHARMACEUTICAL/ BIOLOGICAL INDUSTRY,,,
DE102016100991B9,RECOVERY RESOURCES,HEAT/ ENERGY,,,
DE102016100991B9,RECOVERY SOURCES,GENERAL WASTEWATER,,,
DE102016100991B9,RECOVERED RESOURCE APPLICATIONS,DOMESTIC INDUSTRY,,,
CN114409101B,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
CN114409101B,RECOVERY TECHNOLOGY,ANAEROBIC TREATMENT,,,
CN114409101B,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN114409101B,RECOVERY SOURCES,BATH/ URINE WASTEWATER,,,
CN114369725B,RECOVERY RESOURCES,AMMONIA,,,
CN114369725B,RECOVERY TECHNOLOGY,EXTRACTION TREATMENT,,,
CN114369725B,RECOVERY SOURCES,OTHER WASTEWATER,,,
CN114369725B,RECOVERED RESOURCE APPLICATIONS,GENERAL INDUSTRY,,,
CN114349161B,RECOVERY RESOURCES,MICROORGANISM,,,
CN114349161B,RECOVERY TECHNOLOGY,ANAEROBIC TREATMENT,,,
CN114349161B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN114349161B,RECOVERED RESOURCE APPLICATIONS,GENERAL INDUSTRY,,,
CN114195305B,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN114195305B,RECOVERY TECHNOLOGY,HEAT RECOVERY DEVICE,,,
CN114195305B,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN113929492B,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
CN113929492B,RECOVERY TECHNOLOGY,OTHER TECHNIQUES,,,
CN113929492B,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN113929492B,RECOVERED RESOURCE APPLICATIONS,AGRICULTURAL PURPOSES,,,
CN113929492B,RECOVERED RESOURCE APPLICATIONS,CHEMICAL INDUSTRY,,,
CN113816536B,RECOVERY RESOURCES,AMMONIA,,,
CN113816536B,RECOVERY RESOURCES,NITROGEN,,,
CN113816536B,RECOVERY TECHNOLOGY,USING ADSORBENT,,,
CN113816536B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN113754167B,RECOVERY RESOURCES,AMMONIA,,,
CN113754167B,RECOVERY TECHNOLOGY,USING ADSORBENT,,,
CN113754167B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN113754167B,RECOVERED RESOURCE APPLICATIONS,DOMESTIC INDUSTRY,,,
CN113698069B,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN113698069B,RECOVERY TECHNOLOGY,OTHER TECHNIQUES,,,
CN113698069B,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN113698069B,RECOVERED RESOURCE APPLICATIONS,GENERAL INDUSTRY,,,
CN113698069B,RECOVERED RESOURCE APPLICATIONS,POWER GENERATION,,,
CN113636720B,RECOVERY RESOURCES,AMMONIA,,,
CN113636720B,RECOVERY RESOURCES,NITROGEN,,,
CN113636720B,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
CN113636720B,RECOVERY TECHNOLOGY,DENITRIFICATION,,,
CN113636720B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN113371890B,RECOVERY RESOURCES,NITROGEN,,,
CN113371890B,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
CN113371890B,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
