Publication Number,Level 1,Level 2,level 3,Level 4,Level 5
EP3658570B1,FOCUS AREA,PEPTIDES,GENERAL PEPTIDES,,
EP3658570B1,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,DISEASE SPECIFIC,GENERAL DISEASES,
EP3658570B1,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,PHARMACEUTICAL INDUSTRY,,
EP3658570B1,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,GENERAL MEDICAL USE,,
EP3892628B1,FOCUS AREA,PEPTIDES,POLY-PEPTIDES,,
EP3678687B1,FOCUS AREA,PEPTIDES,GENERAL PEPTIDES,,
EP3678687B1,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,DISEASE SPECIFIC,DIABETES,
EP3678687B1,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,PHARMACEUTICAL INDUSTRY,,
EP3684377A4,FOCUS AREA,OLIGONUCLEOTIDES/ NUCLEOTIDES,,,
EP3684377A4,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,PHARMACEUTICAL INDUSTRY,,
US20220356208A1,FOCUS AREA,PEPTIDES,GENERAL PEPTIDES,,
US20220356208A1,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,DISEASE SPECIFIC,TUMOR,
US20220356208A1,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,DISEASE SPECIFIC,GENERAL CANCER,
US20220356208A1,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,DISEASE SPECIFIC,IMMUNO THERAPY,
US20220356208A1,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,PHARMACEUTICAL INDUSTRY,,
US20220356208A1,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,VACCINE,,
EP3758729A4,FOCUS AREA,PEPTIDES,POLY-PEPTIDES,,
EP3758729A4,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,DISEASE SPECIFIC,GENERAL DISEASES,
EP3758729A4,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,DISEASE SPECIFIC,TUMOR,
EP3758729A4,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,DISEASE SPECIFIC,GENERAL CANCER,
EP3758729A4,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,PHARMACEUTICAL INDUSTRY,,
EP3758729A4,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,THERAPEUTICS,,
EP3601314A4,FOCUS AREA,PEPTIDES,GENERAL PEPTIDES,,
EP3601314A4,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,DISEASE SPECIFIC,HEART DISEASE,
EP3864147A4,FOCUS AREA,PEPTIDES,GENERAL PEPTIDES,,
EP3864147A4,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,DISEASE SPECIFIC,INFLAMMATORY DISEASE,
EP3864147A4,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,DISEASE SPECIFIC,AUTOIMMUNE DISEASE,
EP3864147A4,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,DISEASE SPECIFIC,GENERAL CANCER,
EP3864147A4,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,PHARMACEUTICAL INDUSTRY,,
EP3864147A4,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,THERAPEUTICS,,
US20220081489A9,FOCUS AREA,PEPTIDES,POLY-PEPTIDES,,
US20220081489A9,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,DRUGS,GENERAL DRUGS,
US20220081489A9,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,DISEASE SPECIFIC,TUMOR,
US20220081489A9,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,DISEASE SPECIFIC,GENERAL CANCER,
US20220081489A9,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,THERAPEUTICS,,
US20220081489A9,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,VACCINE,,
EP3628677B1,FOCUS AREA,PEPTIDES,GENERAL PEPTIDES,,
EP3628677B1,APPLICATIONS,COSMETIC INDUSTRY,SKIN CARE,,
EP3628677B1,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,PHARMACEUTICAL INDUSTRY,,
EP3985029A1,FOCUS AREA,PEPTIDES,POLY-PEPTIDES,,
EP3985029A1,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,DISEASE SPECIFIC,INFECTIOUS DISEASES,
EP3985029A1,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,DISEASE SPECIFIC,GENERAL CANCER,
EP3985029A1,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,PHARMACEUTICAL INDUSTRY,,
EP3837373A4,FOCUS AREA,PEPTIDES,GENERAL PEPTIDES,,
EP3837373A4,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,DISEASE SPECIFIC,TUMOR,
EP3837373A4,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,DISEASE SPECIFIC,GENERAL CANCER,
EP3837373A4,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,PHARMACEUTICAL INDUSTRY,,
EP3799603A4,FOCUS AREA,PEPTIDES,POLY-PEPTIDES,,
EP3799603A4,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,DISEASE SPECIFIC,GENERAL DISEASES,
EP3679137A4,FOCUS AREA,PEPTIDES,POLY-PEPTIDES,,
EP3679137A4,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,DISEASE SPECIFIC,HEART DISEASE,
EP3679137A4,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,DISEASE SPECIFIC,DIABETES,
EP3679137A4,APPLICATIONS,MEDICAMENTS/ MEDICAL INDUSTRY,DISEASE SPECIFIC,GENETIC DISEASE,
